taxa_name	pectoral_fin	pelvic_fin	
Synbranchus_marmoratus	0	0	
Hypopomidae	1	0	
Prodiodon_tenuispinus	?	0	
Belonidae	1	?	
Bellottia_robusta	?	0	
Aphyonidae	1	?	
Hemibagrus_bongan	1	1	
Himantolophidae	1	0	
Gagata_itchkeea	1	1	
Ereuniidae	1	?	
Ophisternon_aenigmaticum	0	0	
Chionodraco_myersi	1	1	
Hephthocara_crassiceps	?	0	
Sternarchorhamphus_muelleri	1	0	
Scorpaeniformes	?	?	
Zignodon_fornasieroae	?	0	
Ranzania_laevis	1	0	
Lepidocephalus_guntea	1	1	
Icosteus_aenigmaticus	1	0	
Neoplecostomus_microps	1	1	
Rachycentron_canadum	1	0&1	
Zignoichthys_oblongus	?	0	
Nessorhamphus_danae	1	0	
Spinacanthidae	?	0	
Hypopomus_artedi	1	0	
Kentrocapros_aculeatus	?	0	
Protobalistum_imperialis	?	0	
Notopteridae	1	?	
Kryptopterus_limpok	1	1	
Doumea_gracila	1	1	
Sternarchella_sima	1	0	
Anoplogaster_cornuta	1	1	
Adrianichthys_roseni	1	1	
Natalichthys	1	?	
Simpsonichthys_parallelus	1	0	
Synbranchus_madeirae	0	0	
Ascelichthys_rhodorus	?	0	
Chrysichthys_thonneri	1	1	
Zaproridae	?	0	
Centrophryne_spinulosa	1	0	
Brachyhypopomus_brevirostris	1	0	
Rineloricaria_teffeana	1	1	
Linophrynidae	1	0	
Ereunias_grallator	1	0	
Pataecidae	1	0	
Ostracion_cubicus	?	0	
Pterodoras_rivasi	1	?	
Zaireichthys_brevis	?	1	
Robia_legula	1	0	
Pimelodella_chagresi	?	1	
Gymnallabes_nops	0	0	
Blenniidae	1	?	
Triodon_macropterus	1	0	
Rivulus_nudiventris	1	0	
Glanapteryx_niobium	1	0	
Cynoglossidae	0	0	
Plagiotremus_iosodon	?	0	
Nemacheilus_rupecula	1	1	
Apteronotidae	1	0	
Chendol_keelini	1	0	
Aulopiformes	?	?	
Malapterurus_electricus	1	1	
Chlopsidae	?	0	
Cyttus_traversi	1	1	
Chrysichthys_mabusi	1	1	
Phractura_longicauda	1	1	
Saccopharyngidae	1	0	
Typhlobelus_macromycterus	1	0	
Bythitidae	?	?	
Neopataecus	1	0	
Alabes_parvula	0	0	
Macrouridae	?	?	
Chendol_lubricus	1	0	
Gigantura_indica	1	0	
Andersonia_leptura	1	1	
Apteronotus_albifrons	1	0	
Bellottia_galatheae	?	0	
Scytalinidae	?	0	
Halimuraenoides	1	?	
Xenoconger	1	0	
Sabanejewia_aurata	1	1	
Esox_niger	1	1	
Creediidae	1	?	
Ophisternon_bengalense	0	0	
Euchilichthys_dybowskii	1	1	
Amblyceps_mangois	1	1	
Parapteronotus_hasemani	1	0	
Gymnarchidae	?	0	
Notacanthidae	?	1	
Idiacanthus_atlanticus	0	1	
Onuxodon	1	0	
Zaireichthys_sp._B_(Vigliotta_2008)	1	?	
Galaxiidae	1	?	
Cryptacanthodidae	1	0	
Roestes_molossus	1	1	
Acanthostracion_quadricornis	?	0	
Congrogadus_hierichthys	1	0	
Synbranchiformes	?	0	
Pterygoplichthys_multiradiatus	1	1	
Halidesmus	1	?	
Icosteidae	?	0	
Centrophrynidae	1	0	
Parauchenoglanis_altipinnis	1	1	
Papyrocranus_congoensis	1	0	
Pseudobagrus_ransonnettii	1	1	
Magosternarchus_raptor	1	0	
Eigenmannia_sp._(Fink_and_Fink_1981)	1	0	
Lamprogrammus_niger	1	0	
Uncisudis_advena	1	1	
Aspredinichthys_tibicen	1	1	
Liobagrus_reinii	1	1	
Bellottia_apoda	?	0	
Neocyema_erythrosoma	0&1	0	
Cyclopteridae	1	?	
Macrocephenchelys_brevirostris	1	0	
Gasterosteus_aculeatus	1	0&1	
Beryx_splendens	?	1	
Trachydoras_sp._(Vigliotta_2008)	1	1	
Eremophilus_mutisii	1	0	
Stylephorus_chordatus	1	0	
Pseudopimelodus_sp._(de_Pinna_1993)	?	1	
Bathysaurus_ferox	1	1	
Pseudobagrus_pictus	1	1	
Siluridae	1	?	
Pimelodina_flavipinnis	1	1	
Chiloglanis_niloticus	1	1	
Gymnarchus_niloticus	1	0	
Osteoglossidae	1	?	
Nessorhamphus_ingolfianus	1	0	
Farlowella_sp._(de_Pinna_1993)	?	1	
Evermannella_indica	1	1	
Chrysichthys_nigrodigitatus	1	1	
Monacanthidae	1	0	
Neoceratiidae	1	0	
Hypophthalmus_edentatus	1	1	
Steatogenys_elegans	1	0	
Cetopsorhamdia_sp._n._A_(Bockmann_1998)	1	1	
Anablepidae	1	?	
Demissolinea_novaeguineensis	1	0	
Raconda_russeliana	1	0	
Carangidae	1	?	
Anaethalion_angustissimus	1	1	
Nematogenys_inermis	1	1	
Niwaella_multifasciata	1	1	
Chiloglanis_disneyi	1	1	
Clarias_angolensis	1	1	
Sternopygus_macrurus	1	0	
Snyderidia_canina	1	0	
Percopsiformes	?	?	
Pyrrhulina_australis	1	1	
Gymnotus_cylindricus	1	0	
Glyptothorax_major	1	1	
Dolichallabes_microphthalmus	0	0&1	
Plagiotremus_spilistius	?	0	
Protobalistidae	?	0	
Compsaraia_compsus	1	0	
Apteronotus_apurensis	1	0	
Myctophum	?	1	
Cetopsidium_minutum	1	1	
Microsternarchus_bilineatus	1	0	
Coccorella_atlantica	1	1	
Phallostethidae	1	?	
Kasatkia_memorabilis	1	0	
Apteronotus_cuchillejo	1	0	
Moringuidae	0	0	
Amphilius_jacksonii	1	1	
Antigonia_capros	1	1	
Archolaemus_blax	1	0	
Batasio_dayi	1	1	
Valenciidae	1	?	
Channa_nox	?	0	
Danionella_translucida	1	?	
Crenichthys	1	0	
Evermannella_balbo	1	1	
Cobitis_biwae	1	1	
Tischlingerichthys_viohli	?	1	
Osteogeneiosus_sp._(Mo_1991)	1	1	
Lycenchelys_xanthoptera	?	0	
Odacidae	1	?	
Heteropneustes_sp._(de_Pinna_1993)	?	1	
Giganturidae	?	0	
Platytroctidae	1	?	
Chrysichthys_longibarbis	1	1	
Cyprinodon_diabolis	1	0	
Scoloplax_sp._(de_Pinna_1993)	?	1	
Eremophilus	1	0	
Diplophos_taenia	1	1	
Clupeiformes	?	?	
Ptilichthyidae	?	0	
Cynodon_septenarius	1	1	
Pseudobagarius_leucorhynchus	1	1	
Acanthobunocephalus_nicoi	1	?	
Comephoridae	1	0	
Grammicolepis_brachiusculus	1	1	
Oxydoras_niger	1	1	
Ancistrus_stigmaticus	1	1	
Notarius_grandicassis	1	1	
Ariopsis_felis	1	1	
Eumecichthys_fiski	1	0	
Microsynodontis_vigilis	1	1	
Rhamphichthys_rostratus	1	0	
Ophisternon_afrum	0	0	
Stomiidae	?	1	
Lamprogrammus_shcherbachevi	1	0	
Pshekhadiodon_parini	?	0	
Gonorynchus_greyi	1	1	
Anguilliformes	?	0	
Pliosteostoma_lutipinnis	?	0	
Synodontis_katangae	1	1	
Opisthopterus_dovii	1	0	
Pimelodus_albicans	1	1	
Lefua_nikkonis	1	1	
Galeichthys_feliceps	1	1	
Glyptothorax_pectinopterus	1	1	
Calophysus_macropterus	?	1	
Neotropius_acutirostris	1	1	
Opisthopterus_effulgens	1	0	
Ageneiosus_cf._guianensis_(Mo_1991)	1	1	
Desmodema_lorum	1	0	
Ageneiosus_sp._2_(Mo_1991)	1	1	
Sternarchorhynchus_oxyrhynchus	1	0	
Rhabdolichops_troscheli	1	0	
Clarias_gariepinus	?	1	
Luciopimelodus_pati	?	1	
Nagaichthys_filipes	1	0	
Ataxolepis_apus	1	0	
Caulophrynidae	1	0	
Microsynodontis_emarginata	1	1	
Neoarius_leptaspis	1	1	
Saurida_gracilis	1	1	
Thaumatichthyidae	1	0	
Radiicephalus_elongatus	1	0	
Desmodema_polystictum	1	0	
Compasaria_sp._1_(Albert_2001)	1	0	
Cnidoglanis_sp._(Mo_1991)	1	1	
Arius_africanus	1	1	
Mystus_vittatus	1	1	
Pseudomystus_moeschii	1	1	
Sternopygus_astrabes	1	0	
Auchenipterus_nigripinnis	1	1	
Symphurus_williamsi	0	?	
Gymnotus_anguillaris	1	0	
Pseudomystus_robustus	1	1	
Niwaella_delicata	1	1	
Beloniformes	?	?	
Silurus_glanis	1	1	
Chaudhuria_fusipinnis	1	0	
Oxyropsis_carinata	1	1	
Phractura_sp._(Mo_1991)	1	1	
Chiloglanis_neumanni	1	1	
Caulophryne	1	0	
Orthosternarchus_tamandua	1	0	
Ariopsis_latirostris	1	1	
Corydoras_sp._(Mo_1991)	1	1	
Rhodichthys_regina	1	0	
Pseudexostoma_yunnanense	1	1	
Platytroctes_apus	1	0	
Schindleriidae	1	0	
Cottidae	1	?	
Atopodontus	1	1	
Scopelarchoides_signifer	1	1	
Odontognathus_compressus	1	0	
Lepidarchus_adonis	1	1	
Elops_affinis	1	1	
Radiicephalidae	?	?	
Opisthopterus_macrops	1	0	
Glyptothorax_sp._(de_Pinna_1993)	?	1	
Glyptothorax_telchitta	1	1	
Opisthopterus_equatorialis	1	0	
Astroblepus_heterodon	1	1	
Apodocreedia_vanderhorsti	1	0	
Amblyopsidae	?	?	
Arctozenus_risso	1	1	
Stichaeidae	1	?	
Pangasius_macronema	1	1	
Chaetostoma_breve	1	1	
Ipnops_murrayi	1	1	
Allothrissops_mesogaster	1	1	
Ophididae	?	?	
Archaeotetraodon_winterbottomi	?	0	
Derichthys_serpentinus	1	0	
Bagroides_melapterus	1	1	
Charax_unimaculatus	1	?	
Synodontis_congica	1	1	
Ptilichthys_goodei	1	0	
Melanotaenia_nigrans	?	1	
Aphanius_apodus	1	0	
Acanthopsoides_graciroides_(Sawada_1982)	1	1	
Adontosternarchus_sachsi	1	0	
Goodeidae	1	?	
Diodontidae	1	0	
Chiloglanis_sp._(de_Pinna_1993)	?	1	
Oneirodidae	1	0	
Echiodon	1	0	
Synodontis_sp._(Mo_1991)	1	1	
Monopterus_albus	0	0	
Acanthocleithron_chapini	1	1	
Paraliparis	1	0	
Capromimus_abbreviatus	1	1	
Tyttocharax_sp._A_(Weitzman_and_Fink_1985)	?	1	
Gymnorhamphichthys_hypostomus	1	0	
Denticeps_clupeoides	1	1	
Simpsonichthys_cholopteryx	1	0	
Chrysichthys_aluuensis	1	1	
Bihunichthys_monopteroides	1	0	
Apteronotus_cuchillo	1	0	
Kasatkia_seigeli	1	0	
Ageneiosus_magoi	1	1	
Acantopsis_choirorhynchos	1	1	
Liauchenoglanis_maculatus	1	1	
Pterodoras_granulosus	1	1	
Pelteobagrus_ussuriensis	1	1	
Morone_americana	1	1	
Leptolepides_haerteisi	?	1	
Parauchenoglanis_balayi	1	1	
Sperata_seenghala	1	1	
Glanidium_leopardum	1	1	
Hemibagrus_wyckii	1	1	
Syngnathidae	?	0	
Sternarchogiton_nattereri	1	0	
Rhaphiodon_vulpinus	1	1	
Macrouroides_inflaticeps	1	0	
Porotergus_gimbeli	1	0	
Plicofollis_nella	1	1	
Xyliphius_magdalenae	1	?	
Lophiiformes	?	?	
Xenurobrycon_pteropus	?	1	
Chrysichthys_helicophagus	1	1	
Anaethalion_angustus	1	1	
Paralepis_brevirostris	1	1	
Scopaeocharax_sp._(Burns_et_al_1995)	?	1	
Lycenchelys_fedorovi	?	0	
Stemonosudis_rothschildi	1	1	
Synodontis_euptera	1	1	
Benthalbella_elongata	1	1	
Hemisynodontis_membranaceus	1	1	
Neoopisthopterus_tropicus	?	0	
Misgurnus_mizolepis	1	1	
Loricaria_cataphracta	1	1	
Capros_aper	1	1	
Dinotopterus_cunningtoni	1	1	
Trachelyopterus_sp._(Vigliotta_2008)	1	1	
Gasterosteidae	1	?	
Bagre_marinus	1	1	
Zenion_hololepis	1	1	
Nangra_nangra	1	1	
Oryzias_uwai	1	1	
Synodontis_alberti	1	1	
Mastacembelus_apectoralis	0	?	
Osteogeneiosus_militaris	1	1	
Aulorhynchus_flavidus	1	1	
Synbranchidae	0	0	
Loricariidae_sp._(Mo_1991)	1	1	
Helogenes_sp._(Mo_1991)	1	1	
Molidae	1	?	
Lycoptera_sinensis?	?	1	
Cyprinodontidae	1	?	
Danionella_mirifica	1	?	
Chiloglanis_sp._B_(Vigliotta_2008)	1	1	
Ameiurus_nebulosus	1	1	
Gigantactinidae	1	0	
Hepsetus_odoe	1	1	
Liobagrus_cf._marginatus_(Mo_1991)	1	1	
Umbra_limi	1	1	
Doumea_typica	1	1	
Notoglanidium_walkeri	1	1	
Oryzias_celebensis	1	1	
Synodontis_notata	1	1	
Auchenipterichthys_thoracatus	1	1	
Thrissops_subovatus	1	1	
Xiphiidae	?	?	
Pseudomystus_rugosus	1	1	
Chirocentrus_dorab	?	1	
Lycenchelys_monstrosa	?	0	
Pillaia_kachinica	1	0	
Panaque_sp._(de_Pinna_1993)	?	1	
Ageneiosus_sp._3_(Mo_1991)	1	1	
Umbra_krameri	1	1	
Liobagrus_obesus	1	?	
Neoscopelus_macrolepidotus	1	1	
Perciformes	?	?	
Chrysichthys_bocagii	1	1	
Protoclupea_chilensis	1	1	
Trichiurus	1	0	
Elops_saurus	1	1	
Siluriformes	1	?	
Hoplosternum_punctatum	?	1	
Cyttomimus_stelgis	1	1	
Clariidae	1	?	
Sciades_herzbergii	1	1	
Lophotidae	1	?	
Gnathobagrus_depressus	1	1	
Hypoptychidae	?	0	
Chaudhuriidae	1	0	
Monodactylidae	1	0	
Gilbertolus_atratoensis	1	1	
Chaudhuria_caudata	1	0	
Chiloglanis_sp._G_(Vigliotta_2008)	1	1	
Soleidae	?	1	
Conniella_apterygia	1	0	
Schilbe_mystus	1	1	
Sudis_hyalina	1	1	
Dianema_longibarbis	1	1	
Neosilurus_sp._2_(de_Pinna_1993)	?	1	
Amblyopsis_rosae	1	0	
Ageneiosus_sp._1_(Mo_1991)	1	1	
Zoarcidae	1	?	
Scopelarchoides_nicholsi	1	1	
Parona_signata	1	0	
Nannobrachium_cuprarium	1	1	
Bunocephalus_chamaizelus	1	?	
Bagrichthys_sp._1_(de_Pinna_1993)	?	1	
Sciades_emphysetus	1	1	
Chlorophthalmus_atlanticus	1	1	
Cetomimoides_parri	1	0	
Macrognathus_pancalus	1	0	
Centrodoras_sp._(Vigliotta_2008)	1	1	
Leiocassis_hosii	1	1	
Achiridae	?	1	
Opsanus_tau	?	1	
Hoplomyzon_sexpapilostoma	1	1	
Megalops_cyprinoides	1	1	
Chrysichthys_brachynema	1	1	
Chrysichthys_auratus	1	1	
Pachythrissops_laevis	1	1	
Siluranodon_auritus	1	1	
Stethopristes_eos	1	1	
Pachythrissops_furcatus	1	1	
Cranoglanis_bouderius	1	1	
Synodontis_acanthoperca	1	1	
Rita_kuturnee	1	1	
Pataecus	1	0	
Chaca_bankanensis	?	1	
Gadiformes	?	?	
Synodontis_batesii	1	1	
Synodontis_sp._(de_Pinna_1993)	?	1	
Pelteobagrus_nudiceps	1	1	
Oryzias_luzonensis	1	1	
Macrocephenchelys_brachialis	1	0	
Hypostomus_watwata	1	1	
Barbatula_toni	1	1	
Leptolepides_sprattiformis	1	1	
Kneria_katangae	1	1	
Triodontidae	1	?	
Chanos_chanos	1	1	
Pimelodus_maculatus	1	1	
Chaetostoma_sp._(Friel_1994)	1	?	
Trichomycteridae_sp._(de_Pinna_1993)	?	1	
Allocyttus_verrucosus	1	1	
Bathysauroides_gigas	1	1	
Xenolepidichthys_dalgleishi	1	1	
Saccopharyngiformes	?	0	
Pristigaster_sp._(DiDario_1999)	?	0&1	
Anotopterus_pharao	1	1	
Pseudacanthicus_serratus	1	1	
Astroblepus_festae_sp._3_(Mo_1991)	1	1	
Bathybagrus_tetranema	1	1	
Pholidae	1	?	
Horabagrus_brachysoma	1	1	
Gladioglanis_conquistador	1	1	
Pillaia_indica	1	0	
Diplomystus_dentatus	1	1	
Lefua_echigonia	1	1	
Clupisoma_garua	1	1	
Pristigasteridae	1	?	
Cinetodus_froggatti	1	1	
Synodus_foetens	1	1	
Hemibagrus_nemurus	1	1	
Dupouyichthys_sapito	1	?	
Mystus_wolffii	1	1	
Synodontis_decora	1	1	
Bathypterois_longipes	1	1	
Orthogonikleithrus_leichi	?	1	
Hexanematichthys_mastersi	1	1	
Chiloglanis_carnosus	1	1	
Zaireichthys_camerunensis	?	1	
Pseudomystus_myersi	1	1	
Synodontis_zambezensis	1	1	
Euchilichthys_guentheri	1	1	
Oligolactoria_bubiki	?	0	
Scoloplax_dicra	?	1	
Netuma_bilineata	1	1	
Acrochordonichthys_pachyderma	1	?	
Cheirocerus_abuelo	?	1	
Odontognathus_panamensis	1	0	
Scleromystax_barbatus	?	1	
Mystus_nigriceps	1	1	
Hypsidoris_farsonensis	1	1	
Lampris_guttatus	?	1	
Lophiobagrus_cyclurus	1	1	
Centroberyx_affinis	1	1	
Tachysurus_fulvidraco	1	1	
Akysis_sp._(Friel_1994)	1	?	
Pristigaster_cayana	?	0&1	
Lycoptera_davidi	?	1	
Cetopsis_coecutiens	1	1	
Farlowella_knerii	1	1	
Cynopotamus_kincaidi	1	?	
Neosilurus_novaeguineae	?	1	
Platyglanis_depierrei	1	1	
Pseudolaguvia_shawi	1	1	
Chrysichthys_sianenna	1	1	
Bagrus_docmak	1	1	
Tetraodontiformes	?	?	
Clupeidae	1	?	
Notogoneus_osculus	1	1	
Chiloglanis_occidentalis	1	1	
Lampriformes	?	?	
Loricariinae_sp._(Friel_1994)	1	?	
Heterotis	1	1	
Proaracana_dubia	?	0	
Trachinocephalus_myops	1	1	
Ammodytidae	1	?	
Remora_osteochir	1	1	
Doumea_alula	1	1	
Aspredo_aspredo	1	1	
Cyttopsis_rosea	1	1	
Bagrichthys_macracanthus	1	1	
Callichthys_callichthys	1	1	
Ctenolucius_hujeta	1	1	
Homaloptera_smithi	1	1	
Sorubim_lima	1	1	
Rhamdia_guatemalensis	?	1	
Pangasius_sanitwongsei	?	1	
Chrysichthys_cranchii	1	1	
Zenopsis_nebulosa	1	1	
Chiloglanis_sp._F_(Vigliotta_2008)	1	1	
Bagarius_yarrelli	1	1	
Hoplosternum_littorale	1	1	
Liobagrus_andersoni	1	?	
Thymallus_arcticus	1	1	
Humbertia_sp._(Arratia_1999)	1	1	
Sciades_troschelii	1	1	
Auchenoglanis_biscutatus	1	1	
Neoarius_berneyi	1	1	
Ernstichthys_sp._(de_Pinna_1993)	?	1	
Batasio_tengana	1	1	
Pholidophorus_bechei	1	1	
Zenopsis_conchifer	1	1	
Parakysis_anomalopteryx	1	1	
Lophiobagrus_brevispinis	1	1	
Mystus_montanus	1	1	
Mystus_tengara	1	1	
Chiloglanis_sp._E_(Vigliotta_2008)	1	1	
Scopelosaurus_argenteus	1	1	
Noturus_insignis	1	1	
Gordichthys	1	1	
Olyra_longicaudata	1	1	
Rhamdia_quelen	1	1	
Oncorhynchus_clarkii	1	1	
Annamia_normani	1	1	
Gagata_gagata	1	1	
Microsynodontis_christyi	?	1	
Ipnops_meadi	1	1	
Bothus_ocellatus	?	1	
Rita_gogra	1	1	
Halosauridae	?	1	
Wertheimeria_maculata	?	1	
Grasseichthys_gabonensis	1	1	
Rosenblattichthys_hubbsi	1	1	
Brachyrhamdia_imitator	1	1	
Gnathocharax_steindachneri	1	?	
Pelteobagrus_intermedius	1	1	
Moenkhausia_lepidura	1	?	
Sundadanio_axelrodi	1	?	
Synodontis_njassae	1	1	
Dactylopterus_volitans	?	1	
Trichiuridae	?	?	
Saurida_normani	1	1	
Bunocephalus_sp._(de_Pinna_1993)	?	1	
Corydoras_julii	1	1	
Papyrocranus_afer	1	0	
Lamprogrammus_fragilis	1	0	
Bagrus_meridionalis	1	1	
Exallodontus_aguanai	?	1	
Cobitis_striata	1	1	
Clarias_fuscus	?	1	
Hemibagrus_hainanensis	1	1	
Oligosarcus_argenteus	1	?	
Forbesichthys_agassizii	1	0	
Xyliphius_melanopterus	1	1	
Synodontis_victoriae	1	1	
Siphonognathus_argyrophanes	1	0	
Tyttocharax_madeirae	?	1	
Anduzedoras_oxyrhynchus	?	1	
Pseudomystus_leiacanthus	1	1	
Corydoras_rabauti	1	1	
Schistura_fowleriana	1	1	
Pseudobagrus_vachellii	1	1	
Astroblepus_sp._(de_Pinna_1993)	?	1	
Glanidium_albescens	1	1	
Chionodraco_rastrospinosus	1	1	
Gonorynchiformes	1	1	
Oryzias_orthognathus	1	1	
Chaca_burmensis	1	1	
Pterygoplichthys_sp._(de_Pinna_1993)	?	1	
Lycenchelys_nanospinata	?	0	
Nedystoma_dayi	1	1	
Sciades_felis	1	1	
Aspidoras_pauciradiatus	?	1	
Clarias_sp._(de_Pinna_1993)	?	1	
Neocyttus_rhomboidalis	1	1	
Pseudobagrus_taeniatus	1	1	
Chrysichthys_ansorgii	1	1	
Lignobrycon_myersi	1	?	
Ladigesia_roloffi	1	1	
Synodontis_albolineata	1	1	
Heterobranchus_longifilis	1	1	
Synodontis_nigriventris	1	1	
Helicophagus_waandersii	?	1	
Nannostomus_unifasciatus	1	1	
Yunnanilus_pleurotaenia	1	1	
Euchilichthys_sp._C_(Vigliotta_2008)	1	1	
Esox_lucius	1	1	
Hassar_orestis	1	1	
Esox_americanus	1	1	
Thrissops_regleyi	1	1	
Macroparalepis_affinis	1	1	
Chiloglanis_polypogon	1	1	
Pseudochaenichthys_georgianus	1	1	
