taxa_name	pelvic fin	pectoral fin	
Hemibagrus menoda	1	1	
Brachyplatystoma filamentosum	1	1	
Channidae	0 and 1	1	
Ophichthus rex	0	?	
Carapus	0	1	
Gobiesocidae	0 and 1	0 and 1	
Trichomycterus catamarcensis	0	1	
Opisthopterus valenciennesi	0	1	
Scytalina cerdale	0	1	
Rivulidae	0 and 1	1	
Colocongridae	0	1	
Amphilius uranoscopus	1	1	
Opisthopterus tardoore	0	1	
Pseudobagarius macronemus	1	1	
Seriola dumerili	1	1	
Alabes dorsalis	1	0	
Phractura lindica	1	1	
Congridae	0	?	
Eurypleuron	0	1	
Gymnotidae	0	1	
Diodon holocanthus	0	?	
Belonion apodion	0	1	
Trichomycteridae	0 and 1	1	
Listrura camposi	0	1	
Anarhichadidae	0	1	
Platydoras costatus	1	1	
Benthalbella macropinna	1	1	
Chilomycterus schoepfii	0	?	
Liparidae	0 and 1	1	
Trachipteridae	0 and 1	?	
Schistura fasciolata	1	1	
Plotosus limbatus	1	?	
Uegitglanis zammaranoi	1	?	
Cyprinodontiformes	0 and 1	?	
Robinsia catherinae	0	0	
Chrysichthys habereri	1	1	
Hypoptychus dybowskii	0	1	
Heteroconger	?	0	
Synbranchus lampreia	0	0	
Neoceratias spinifer	0	1	
Chlopsis	0	0	
Listrura nematopteryx	0	1	
Pygidianops eigenmanni	0	1	
Megupsilon aporus	0	1	
Indoreonectes evezardi	1	1	
Cinetodus crassilabris	1	1	
Pseudeutropius moolenburghae	1	1	
Diceratiidae	0	1	
Ipnops agassizii	1	1	
Chaudhuria	0	1	
Listrura boticario	0	1	
Gigantura chuni	0	1	
Platystacus sp. (Mo 1991)	1	1	
Glyptothorax cous	1	1	
Chiloglanis sp. A (Vigliotta 2008)	1	1	
Ituglanis metae	1	1	
Corydoras aeneus	1	1	
Myrocongridae	0	1	
Corydoras punctatus	?	1	
Parastromateus niger	0	1	
Monopterus boueti	0	0	
Echiophis punctifer	0	?	
Plotosus canius	1	1	
Sternarchogiton sp. B (Albert 2001)	0	1	
Racenisia fimbriipinna	0	1	
Ophichthidae	0	?	
Balistidae	0 and 1	1	
Nemichthyidae	0	1	
Apteronotus leptorhynchus	0	1	
Neochanna apoda	0	1	
Eigenmannia virescens	0	1	
Boulengerella lateristriga	?	1	
Tetraodontidae	0 and 1	1	
Neochanna diversus	0	1	
Nectoliparis pelagicus	0	1	
Labridae	0 and 1	1	
Empetrichthys	0	1	
Magosternarchus duccis	0	1	
Electrophorus electricus	0	1	
Typhlichthys subterraneus	0	1	
Monodactylus	0	1	
Gasterosteiformes	0 and 1	?	
Xiphias gladius	0	1	
Distocyclus conirostris	0	1	
Archaeotetraodon jamestyleri	0	?	
Callichthys sp. (Mo 1991)	1	1	
Pseudecheneis sulcata	1	1	
Synodontis macrostigma	1	1	
Alabes	?	0	
Garo khajuriai	0	1	
Bellottia cryptica	0	?	
Apeltes quadracus	1	1	
Synodontis sorex	1	1	
Stylephoridae	0 and 1	1	
Kryptopterus bleekeri	?	?	
Megadontognathus cuyuniense	0	1	
Lepturacanthus	0	1	
Opsariichthys bidens	1	1	
Neoopisthopterus cubanus	0	?	
Cyematidae	0	1	
Adontosternarchus sp. (Fink and Fink 1981)	0	1	
Zaprora silenus	0	1	
Chiloglanis sp. C (Vigliotta 2008)	1	1	
Monopterus fossorius	?	?	
Scopelosaurus hoedti	1	1	
Apodichthys	0	1	
Sphoeroides maculatus	0	?	
Ahliesaurus berryi	1	1	
Entomocorus benjamini	1	1	
Carapidae	0 and 1	?	
Channallabes apus	0 and 1	0	
Brachysynodontis batensoda	1	1	
Kaupichthys	0	1	
Phyllonemus typus	1	1	
Synbranchus marmoratus	0	0	
Hypopomidae	0	1	
Prodiodon tenuispinus	0	?	
Belonidae	0 and 1	1	
Bellottia robusta	0	?	
Aphyonidae	0 and 1	1	
Hemibagrus bongan	1	1	
Himantolophidae	0	1	
Gagata itchkeea	1	1	
Ereuniidae	0 and 1	1	
Ophisternon aenigmaticum	0	0	
Chionodraco myersi	1	1	
Hephthocara crassiceps	0	?	
Sternarchorhamphus muelleri	0	1	
Scorpaeniformes	0 and 1	?	
Zignodon fornasieroae	0	?	
Ranzania laevis	0	1	
Lepidocephalus guntea	1	1	
Icosteus aenigmaticus	0	1	
Neoplecostomus microps	1	1	
Rachycentron canadum	0 and 1	1	
Zignoichthys oblongus	0	?	
Nessorhamphus danae	0	1	
Spinacanthidae	0	?	
Hypopomus artedi	0	1	
Kentrocapros aculeatus	0	?	
Protobalistum imperialis	0	?	
Notopteridae	0 and 1	1	
Kryptopterus limpok	1	1	
Doumea gracila	1	1	
Sternarchella sima	0	1	
Anoplogaster cornuta	1	1	
Adrianichthys roseni	1	1	
Natalichthys	0 and 1	1	
Simpsonichthys parallelus	0	1	
Synbranchus madeirae	0	0	
Ascelichthys rhodorus	0	?	
Chrysichthys thonneri	1	1	
Allenichthys glauerti	?	?	
Zaproridae	0	?	
Centrophryne spinulosa	0	1	
Brachyhypopomus brevirostris	0	1	
Rineloricaria teffeana	1	1	
Linophrynidae	0	1	
Ereunias grallator	0	1	
Pataecidae	0	1	
Ostracion cubicus	0	?	
Pterodoras rivasi	?	1	
Zaireichthys brevis	1	?	
Robia legula	0	1	
Pimelodella chagresi	1	?	
Gymnallabes nops	0	0	
Blenniidae	0 and 1	1	
Triodon macropterus	0	1	
Rivulus nudiventris	0	1	
Glanapteryx niobium	0	1	
Cynoglossidae	0	0	
Plagiotremus iosodon	0	?	
Nemacheilus rupecula	1	1	
Apteronotidae	0	1	
Chendol keelini	0	1	
Aulopiformes	0 and 1	?	
Malapterurus electricus	1	1	
Chlopsidae	0	?	
Cyttus traversi	1	1	
Chrysichthys mabusi	1	1	
Phractura longicauda	1	1	
Saccopharyngidae	0	1	
Typhlobelus macromycterus	0	1	
Bythitidae	0 and 1	?	
Neopataecus	0	1	
Alabes parvula	0	0	
Macrouridae	0 and 1	?	
Chendol lubricus	0	1	
Gigantura indica	0	1	
Andersonia leptura	1	1	
Apteronotus albifrons	0	1	
Bellottia galatheae	0	?	
Scytalinidae	0	?	
Halimuraenoides	0 and 1	1	
Xenoconger	0	1	
Sabanejewia aurata	1	1	
Esox niger	1	1	
Creediidae	0 and 1	1	
Ophisternon bengalense	0	0	
Euchilichthys dybowskii	1	1	
Amblyceps mangois	1	1	
Parapteronotus hasemani	0	1	
Gymnarchidae	0	?	
Notacanthidae	1	?	
Idiacanthus atlanticus	1	0	
Onuxodon	0	1	
Zaireichthys sp. B (Vigliotta 2008)	?	1	
Galaxiidae	0 and 1	1	
Cryptacanthodidae	0	1	
Roestes molossus	1	1	
Acanthostracion quadricornis	0	?	
Congrogadus hierichthys	0	1	
Synbranchiformes	0	?	
Pterygoplichthys multiradiatus	1	1	
Halidesmus	0 and 1	1	
Icosteidae	0	?	
Centrophrynidae	0	1	
Parauchenoglanis altipinnis	1	1	
Papyrocranus congoensis	0	1	
Pseudobagrus ransonnettii	1	1	
Magosternarchus raptor	0	1	
Eigenmannia sp. (Fink and Fink 1981)	0	1	
Lamprogrammus niger	0	1	
Uncisudis advena	1	1	
Aspredinichthys tibicen	1	1	
Liobagrus reinii	1	1	
Ramallichthys orientalis	?	?	
Bellottia apoda	0	?	
Neocyema erythrosoma	0	0 and 1	
Cyclopteridae	0 and 1	1	
Macrocephenchelys brevirostris	0	1	
Gasterosteus aculeatus	0 and 1	1	
Beryx splendens	1	?	
Trachydoras sp. (Vigliotta 2008)	1	1	
Eremophilus mutisii	0	1	
Stylephorus chordatus	0	1	
Pseudopimelodus sp. (de Pinna 1993)	1	?	
Bathysaurus ferox	1	1	
Pseudobagrus pictus	1	1	
Siluridae	0 and 1	1	
Pimelodina flavipinnis	1	1	
Chiloglanis niloticus	1	1	
Gymnarchus niloticus	0	1	
Osteoglossidae	0 and 1	1	
Nessorhamphus ingolfianus	0	1	
Farlowella sp. (de Pinna 1993)	1	?	
Evermannella indica	1	1	
Chrysichthys nigrodigitatus	1	1	
Monacanthidae	0	1	
Neoceratiidae	0	1	
Hypophthalmus edentatus	1	1	
Steatogenys elegans	0	1	
Cetopsorhamdia sp. n. A (Bockmann 1998)	1	1	
Anablepidae	?	1	
Demissolinea novaeguineensis	0	1	
Raconda russeliana	0	1	
Carangidae	0 and 1	1	
Anaethalion angustissimus	1	1	
Nematogenys inermis	1	1	
Niwaella multifasciata	1	1	
Chiloglanis disneyi	1	1	
Clarias angolensis	1	1	
Sternopygus macrurus	0	1	
Snyderidia canina	0	1	
Percopsiformes	0 and 1	?	
Pyrrhulina australis	1	1	
Gymnotus cylindricus	0	1	
Glyptothorax major	1	1	
Dolichallabes microphthalmus	0 and 1	0	
Plagiotremus spilistius	0	?	
Protobalistidae	0	?	
Compsaraia compsus	0	1	
Apteronotus apurensis	0	1	
Myctophum	1	?	
Cetopsidium minutum	1	1	
Microsternarchus bilineatus	0	1	
Coccorella atlantica	1	1	
Monopterus eapeni	?	?	
Phallostethidae	0 and 1	1	
Kasatkia memorabilis	0	1	
Apteronotus cuchillejo	0	1	
Moringuidae	0	0	
Amphilius jacksonii	1	1	
Antigonia capros	1	1	
Archolaemus blax	0	1	
Batasio dayi	1	1	
Valenciidae	?	1	
Channa nox	0	?	
Danionella translucida	?	1	
Crenichthys	0	1	
Evermannella balbo	1	1	
Cobitis biwae	1	1	
Tischlingerichthys viohli	1	?	
Osteogeneiosus sp. (Mo 1991)	1	1	
Lycenchelys xanthoptera	0	?	
Odacidae	0 and 1	1	
Heteropneustes sp. (de Pinna 1993)	1	?	
Giganturidae	0	?	
Monopterus indicus	?	?	
Platytroctidae	0 and 1	1	
Chrysichthys longibarbis	1	1	
Cyprinodon diabolis	0	1	
Scoloplax sp. (de Pinna 1993)	1	?	
Eremophilus	0	1	
Diplophos taenia	1	1	
Ophisternon gutturale	?	?	
Clupeiformes	0 and 1	?	
Ptilichthyidae	0	?	
Cynodon septenarius	1	1	
Pseudobagarius leucorhynchus	1	1	
Acanthobunocephalus nicoi	?	1	
Comephoridae	0	1	
Grammicolepis brachiusculus	1	1	
Oxydoras niger	1	1	
Ancistrus stigmaticus	1	1	
Notarius grandicassis	1	1	
Creagrutus crenatus	?	?	
Ariopsis felis	1	1	
Eumecichthys fiski	0	1	
Microsynodontis vigilis	1	1	
Rhamphichthys rostratus	0	1	
Ophisternon afrum	0	0	
Stomiidae	1	0 and 1	
Lamprogrammus shcherbachevi	0	1	
Pshekhadiodon parini	0	?	
Gonorynchus greyi	1	1	
Anguilliformes	0	?	
Pliosteostoma lutipinnis	0	?	
Synodontis katangae	1	1	
Opisthopterus dovii	0	1	
Pimelodus albicans	1	1	
Lefua nikkonis	1	1	
Galeichthys feliceps	1	1	
Glyptothorax pectinopterus	1	1	
Calophysus macropterus	1	?	
Neotropius acutirostris	1	1	
Opisthopterus effulgens	0	1	
Ageneiosus cf. guianensis (Mo 1991)	1	1	
Desmodema lorum	0	1	
Ageneiosus sp. 2 (Mo 1991)	1	1	
Sternarchorhynchus oxyrhynchus	0	1	
Rhabdolichops troscheli	0	1	
Clarias gariepinus	1	?	
Luciopimelodus pati	1	?	
Nagaichthys filipes	0	1	
Ataxolepis apus	0	1	
Caulophrynidae	0	1	
Microsynodontis emarginata	1	1	
Neoarius leptaspis	1	1	
Saurida gracilis	1	1	
Thaumatichthyidae	0	1	
Radiicephalus elongatus	0	1	
Desmodema polystictum	0	1	
Compasaria sp. 1 (Albert 2001)	0	1	
Cnidoglanis sp. (Mo 1991)	1	1	
Arius africanus	1	1	
Mystus vittatus	1	1	
Pseudomystus moeschii	1	1	
Sternopygus astrabes	0	1	
Auchenipterus nigripinnis	1	1	
Symphurus williamsi	?	0	
Gymnotus anguillaris	0	1	
Pseudomystus robustus	1	1	
Niwaella delicata	1	1	
Beloniformes	0 and 1	?	
Silurus glanis	1	1	
Chaudhuria fusipinnis	0	1	
Oxyropsis carinata	1	1	
Phractura sp. (Mo 1991)	1	1	
Chiloglanis neumanni	1	1	
Caulophryne	0	1	
Orthosternarchus tamandua	0	1	
Ariopsis latirostris	1	1	
Corydoras sp. (Mo 1991)	1	1	
Rhodichthys regina	0	1	
Pseudexostoma yunnanense	1	1	
Platytroctes apus	0	1	
Schindleriidae	0	1	
Gonorynchus gonorynchus	?	?	
Cottidae	0 and 1	1	
Atopodontus	1	1	
Scopelarchoides signifer	1	1	
Odontognathus compressus	0	1	
Lepidarchus adonis	1	1	
Elops affinis	1	1	
Radiicephalidae	0 and 1	?	
Opisthopterus macrops	0	1	
Glyptothorax sp. (de Pinna 1993)	1	?	
Glyptothorax telchitta	1	1	
Opisthopterus equatorialis	0	1	
Astroblepus heterodon	1	1	
Apodocreedia vanderhorsti	0	1	
Amblyopsidae	0 and 1	?	
Arctozenus risso	1	1	
Stichaeidae	0 and 1	1	
Pangasius macronema	1	1	
Chaetostoma breve	1	1	
Ipnops murrayi	1	1	
Allothrissops mesogaster	1	1	
Ophididae	0 and 1	?	
Archaeotetraodon winterbottomi	0	?	
Derichthys serpentinus	0	1	
Bagroides melapterus	1	1	
Charax unimaculatus	?	1	
Synodontis congica	1	1	
Ptilichthys goodei	0	1	
Melanotaenia nigrans	1	?	
Aphanius apodus	0	1	
Acanthopsoides graciroides (Sawada 1982)	1	1	
Adontosternarchus sachsi	0	1	
Goodeidae	0 and 1	1	
Diodontidae	0	1	
Chiloglanis sp. (de Pinna 1993)	1	?	
Oneirodidae	0	1	
Echiodon	0	1	
Synodontis sp. (Mo 1991)	1	1	
Phractolaemus ansorgii	?	?	
Monopterus albus	0	0	
Acanthocleithron chapini	1	1	
Paraliparis	0	1	
Capromimus abbreviatus	1	1	
Tyttocharax sp. A (Weitzman and Fink 1985)	1	?	
Gymnorhamphichthys hypostomus	0	1	
Denticeps clupeoides	1	1	
Simpsonichthys cholopteryx	0	1	
Chrysichthys aluuensis	1	1	
Bihunichthys monopteroides	0	1	
Apteronotus cuchillo	0	1	
Kasatkia seigeli	0	1	
Ageneiosus magoi	1	1	
Acantopsis choirorhynchos	1	1	
Liauchenoglanis maculatus	1	1	
Pterodoras granulosus	1	1	
Pelteobagrus ussuriensis	1	1	
Morone americana	1	1	
Leptolepides haerteisi	1	?	
Parauchenoglanis balayi	1	1	
Sperata seenghala	1	1	
Glanidium leopardum	1	1	
Hemibagrus wyckii	1	1	
Syngnathidae	0	?	
Sternarchogiton nattereri	0	1	
Rhaphiodon vulpinus	1	1	
Macrouroides inflaticeps	0	1	
Porotergus gimbeli	0	1	
Plicofollis nella	1	1	
Xyliphius magdalenae	?	1	
Lophiiformes	0 and 1	?	
Xenurobrycon pteropus	1	?	
Chrysichthys helicophagus	1	1	
Anaethalion angustus	1	1	
Paralepis brevirostris	1	1	
Scopaeocharax sp. (Burns et al 1995)	1	?	
Lycenchelys fedorovi	0	?	
Kryptopterus eugeneiatus	?	?	
Stemonosudis rothschildi	1	1	
Synodontis euptera	1	1	
Benthalbella elongata	1	1	
Hemisynodontis membranaceus	1	1	
Neoopisthopterus tropicus	0	?	
Boulengerella lucius	?	?	
Misgurnus mizolepis	1	1	
Loricaria cataphracta	1	1	
Capros aper	1	1	
Dinotopterus cunningtoni	1	1	
Trachelyopterus sp. (Vigliotta 2008)	1	1	
Gasterosteidae	0 and 1	1	
Bagre marinus	1	1	
Zenion hololepis	1	1	
Nangra nangra	1	1	
Oryzias uwai	1	1	
Synodontis alberti	1	1	
Mastacembelus apectoralis	?	0	
Osteogeneiosus militaris	1	1	
Aulorhynchus flavidus	1	1	
Synbranchidae	0	0	
Loricariidae sp. (Mo 1991)	1	1	
Helogenes sp. (Mo 1991)	1	1	
Molidae	0 and 1	1	
Silurichthys schneideri	?	?	
Lycoptera sinensis?	1	?	
Cyprinodontidae	0 and 1	1	
Danionella mirifica	?	1	
Chiloglanis sp. B (Vigliotta 2008)	1	1	
Ameiurus nebulosus	1	1	
Gigantactinidae	0	1	
Hepsetus odoe	1	1	
Liobagrus cf. marginatus (Mo 1991)	1	1	
Umbra limi	1	1	
Doumea typica	1	1	
Notoglanidium walkeri	1	1	
Oryzias celebensis	1	1	
Synodontis notata	1	1	
Auchenipterichthys thoracatus	1	1	
Thrissops subovatus	1	1	
Xiphiidae	0 and 1	?	
Pseudomystus rugosus	1	1	
Chirocentrus dorab	1	?	
Lycenchelys monstrosa	0	?	
Pillaia kachinica	0	1	
Panaque sp. (de Pinna 1993)	1	?	
Ageneiosus sp. 3 (Mo 1991)	1	1	
Umbra krameri	1	1	
Liobagrus obesus	?	1	
Atherinopsidae	?	?	
Neoscopelus macrolepidotus	1	1	
Perciformes	0 and 1	?	
Chrysichthys bocagii	1	1	
Adrianichthyidae	?	?	
Protoclupea chilensis	1	1	
Trichiurus	0	1	
Elops saurus	1	1	
Siluriformes	0 and 1	1	
Hoplosternum punctatum	1	?	
Cyttomimus stelgis	1	1	
Clariidae	0 and 1	1	
Sciades herzbergii	1	1	
Lophotidae	0 and 1	1	
Gnathobagrus depressus	1	1	
Hypoptychidae	0	?	
Chaudhuriidae	0	1	
Monodactylidae	0	1	
Gilbertolus atratoensis	1	1	
Chaudhuria caudata	0	1	
Chiloglanis sp. G (Vigliotta 2008)	1	1	
Macrotrema caligans	?	?	
Soleidae	1	0 and 1	
Conniella apterygia	0	1	
Schilbe mystus	1	1	
Sudis hyalina	1	1	
Dianema longibarbis	1	1	
Neosilurus sp. 2 (de Pinna 1993)	1	?	
Amblyopsis rosae	0	1	
Ageneiosus sp. 1 (Mo 1991)	1	1	
Zoarcidae	0 and 1	1	
Scopelarchoides nicholsi	1	1	
Parona signata	0	1	
Nannobrachium cuprarium	1	1	
Bunocephalus chamaizelus	?	1	
Bagrichthys sp. 1 (de Pinna 1993)	1	?	
Sciades emphysetus	1	1	
Chlorophthalmus atlanticus	1	1	
Cetomimoides parri	0	1	
Macrognathus pancalus	0	1	
Centrodoras sp. (Vigliotta 2008)	1	1	
Leiocassis hosii	1	1	
Achiridae	1	?	
Opsanus tau	1	?	
Hoplomyzon sexpapilostoma	1	1	
Megalops cyprinoides	1	1	
Chrysichthys brachynema	1	1	
Chrysichthys auratus	1	1	
Pachythrissops laevis	1	1	
Siluranodon auritus	1	1	
Stethopristes eos	1	1	
Pachythrissops furcatus	1	1	
Cranoglanis bouderius	1	1	
Synodontis acanthoperca	1	1	
Rita kuturnee	1	1	
Pataecus	0	1	
Chaca bankanensis	1	?	
Gadiformes	0 and 1	?	
Synodontis batesii	1	1	
Synodontis sp. (de Pinna 1993)	1	?	
Pelteobagrus nudiceps	1	1	
Oryzias luzonensis	1	1	
Macrocephenchelys brachialis	0	1	
Hypostomus watwata	1	1	
Barbatula toni	1	1	
Leptolepides sprattiformis	1	1	
Kneria katangae	1	1	
Triodontidae	0 and 1	1	
Chanos chanos	1	1	
Pimelodus maculatus	1	1	
Chaetostoma sp. (Friel 1994)	?	1	
Trichomycteridae sp. (de Pinna 1993)	1	?	
Allocyttus verrucosus	1	1	
Bathysauroides gigas	1	1	
Xenolepidichthys dalgleishi	1	1	
Saccopharyngiformes	0	?	
Pristigaster sp. (DiDario 1999)	0 and 1	?	
Anotopterus pharao	1	1	
Pseudacanthicus serratus	1	1	
Belodontichthys dinema	?	?	
Astroblepus festae sp. 3 (Mo 1991)	1	1	
Bathybagrus tetranema	1	1	
Pholidae	0 and 1	1	
Horabagrus brachysoma	1	1	
Gladioglanis conquistador	1	1	
Pillaia indica	0	1	
Hemiramphidae	?	?	
Diplomystus dentatus	1	1	
Lefua echigonia	1	1	
Clupisoma garua	1	1	
Pristigasteridae	0 and 1	1	
Cinetodus froggatti	1	1	
Synaptura marginata	?	?	
Synodus foetens	1	1	
Hemibagrus nemurus	1	1	
Dupouyichthys sapito	?	1	
Mystus wolffii	1	1	
Synodontis decora	1	1	
Bathypterois longipes	1	1	
Orthogonikleithrus leichi	1	?	
Hexanematichthys mastersi	1	1	
Chiloglanis carnosus	1	1	
Zaireichthys camerunensis	1	?	
Pseudomystus myersi	1	1	
Synodontis zambezensis	1	1	
Euchilichthys guentheri	1	1	
Oligolactoria bubiki	0	?	
Scoloplax dicra	1	?	
Netuma bilineata	1	1	
Acrochordonichthys pachyderma	?	1	
Cheirocerus abuelo	1	?	
Odontognathus panamensis	0	1	
Scleromystax barbatus	1	?	
Mystus nigriceps	1	1	
Hypsidoris farsonensis	1	1	
Lampris guttatus	1	?	
Lophiobagrus cyclurus	1	1	
Centroberyx affinis	1	1	
Tachysurus fulvidraco	1	1	
Akysis sp. (Friel 1994)	?	1	
Pristigaster cayana	0 and 1	?	
Lycoptera davidi	1	?	
Cetopsis coecutiens	1	1	
Farlowella knerii	1	1	
Isonidae	?	?	
Cynopotamus kincaidi	?	1	
Neosilurus novaeguineae	1	?	
Platyglanis depierrei	1	1	
Pseudolaguvia shawi	1	1	
Chrysichthys sianenna	1	1	
Bagrus docmak	1	1	
Tetraodontiformes	0 and 1	?	
Clupeidae	0 and 1	1	
Syacium micrurum	?	?	
Notogoneus osculus	1	1	
Chiloglanis occidentalis	1	1	
Lampriformes	0 and 1	?	
Loricariinae sp. (Friel 1994)	?	1	
Gonorynchus abbreviatus	?	?	
Heterotis	1	1	
Proaracana dubia	0	?	
Trachinocephalus myops	1	1	
Ammodytidae	0 and 1	1	
Remora osteochir	1	1	
Doumea alula	1	1	
Aspredo aspredo	1	1	
Cyttopsis rosea	1	1	
Bagrichthys macracanthus	1	1	
Callichthys callichthys	1	1	
Ctenolucius hujeta	1	1	
Homaloptera smithi	1	1	
Sorubim lima	1	1	
Rhamdia guatemalensis	1	?	
Pangasius sanitwongsei	1	?	
Chrysichthys cranchii	1	1	
Zenopsis nebulosa	1	1	
Chiloglanis sp. F (Vigliotta 2008)	1	1	
Bagarius yarrelli	1	1	
Hoplosternum littorale	1	1	
Liobagrus andersoni	?	1	
Thymallus arcticus	1	1	
Humbertia sp. (Arratia 1999)	1	1	
Ancylopsetta dilecta	?	?	
Sciades troschelii	1	1	
Auchenoglanis biscutatus	1	1	
Neoarius berneyi	1	1	
Ernstichthys sp. (de Pinna 1993)	1	?	
Batasio tengana	1	1	
Pterocryptis gangelica	?	?	
Pholidophorus bechei	1	1	
Zenopsis conchifer	1	1	
Parakysis anomalopteryx	1	1	
Lophiobagrus brevispinis	1	1	
Mystus montanus	1	1	
Mystus tengara	1	1	
Chiloglanis sp. E (Vigliotta 2008)	1	1	
Scopelosaurus argenteus	1	1	
Noturus insignis	1	1	
Gordichthys	1	1	
Olyra longicaudata	1	1	
Rhamdia quelen	1	1	
Oncorhynchus clarkii	1	1	
Annamia normani	1	1	
Gagata gagata	1	1	
Microsynodontis christyi	1	?	
Ipnops meadi	1	1	
Bothus ocellatus	1	?	
Rita gogra	1	1	
Halosauridae	1	?	
Wertheimeria maculata	1	?	
Grasseichthys gabonensis	1	1	
Rosenblattichthys hubbsi	1	1	
Brachyrhamdia imitator	1	1	
Gnathocharax steindachneri	?	1	
Pelteobagrus intermedius	1	1	
Moenkhausia lepidura	?	1	
Sundadanio axelrodi	?	1	
Synodontis njassae	1	1	
Dactylopterus volitans	1	?	
Notocheiridae	?	?	
Trichiuridae	0 and 1	?	
Saurida normani	1	1	
Bunocephalus sp. (de Pinna 1993)	1	?	
Corydoras julii	1	1	
Papyrocranus afer	0	1	
Lamprogrammus fragilis	0	1	
Bagrus meridionalis	1	1	
Exallodontus aguanai	1	?	
Phalacronotus micronemus	?	?	
Cobitis striata	1	1	
Clarias fuscus	1	?	
Hemibagrus hainanensis	1	1	
Oligosarcus argenteus	?	1	
Forbesichthys agassizii	0	1	
Xyliphius melanopterus	1	1	
Synodontis victoriae	1	1	
Siphonognathus argyrophanes	0	1	
Tyttocharax madeirae	1	?	
Anduzedoras oxyrhynchus	1	?	
Boulengerella xyrekes	?	?	
Pseudomystus leiacanthus	1	1	
Corydoras rabauti	1	1	
Schistura fowleriana	1	1	
Pseudobagrus vachellii	1	1	
Astroblepus sp. (de Pinna 1993)	1	?	
Glanidium albescens	1	1	
Citharichthys spilopterus	?	?	
Chionodraco rastrospinosus	1	1	
Gonorynchiformes	1	1	
Oryzias orthognathus	1	1	
Chaca burmensis	1	1	
Pterygoplichthys sp. (de Pinna 1993)	1	?	
Lycenchelys nanospinata	0	?	
Nedystoma dayi	1	1	
Sciades felis	1	1	
Aspidoras pauciradiatus	1	?	
Clarias sp. (de Pinna 1993)	1	?	
Neocyttus rhomboidalis	1	1	
Pseudobagrus taeniatus	1	1	
Chrysichthys ansorgii	1	1	
Lignobrycon myersi	?	1	
Ladigesia roloffi	1	1	
Cyclopsetta fimbriata	?	?	
Synodontis albolineata	1	1	
Heterobranchus longifilis	1	1	
Synodontis nigriventris	1	1	
Helicophagus waandersii	1	?	
Nannostomus unifasciatus	1	1	
Yunnanilus pleurotaenia	1	1	
Euchilichthys sp. C (Vigliotta 2008)	1	1	
